ID,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
A114024,2010-04-20 10:11:43 UTC,-73.865185,40.770975,-73.981641,40.749844,1
A114025,2010-04-19 19:38:59 UTC,-73.979928,40.760316,-73.964175,40.764406,1
A114026,2010-04-13 08:14:09 UTC,-73.963106,40.768954,-74.003937,40.753209,1
A114027,2010-04-24 09:32:14 UTC,-74.001807,40.719611,-74.017197,40.704924,1
A114028,2010-04-13 01:26:00 UTC,-73.998052,40.729852,-74.006003,40.742473,1
A114029,2010-04-17 20:18:18 UTC,-73.995579,40.739207,-73.993046,40.732402,1
A114030,2010-04-13 15:47:31 UTC,-73.960815,40.765657,-73.980874,40.738153,2
A114031,2010-04-20 00:00:37 UTC,-73.972058,40.762317,-73.98615,40.77133,1
A114032,2010-04-16 19:31:03 UTC,-73.98432,40.756833,-73.981477,40.759921,1
A114033,2010-04-16 21:00:04 UTC,-73.98206,40.771904,-73.973295,40.78525,1
A114034,2010-04-24 13:00:05 UTC,-73.981604,40.780664,-73.957964,40.802231,1
A114035,2010-04-21 20:01:05 UTC,-73.973831,40.763112,-73.977919,40.753284,1
A114036,2010-04-13 00:49:54 UTC,-73.985773,40.731121,-73.9809,40.653647,1
A114037,2010-04-21 01:27:26 UTC,-73.976193,40.749955,-73.907785,40.746956,1
A114038,2010-04-19 17:58:36 UTC,-73.962715,40.758064,-73.995924,40.749266,1
A114039,2010-04-24 02:44:33 UTC,-73.985763,40.727876,-73.984842,40.74516,1
A114040,2010-04-18 01:43:19 UTC,-73.977084,40.787771,-73.945439,40.70856,2
A114041,2010-04-20 10:22:23 UTC,-74.008213,40.705803,-74.014372,40.715274,2
A114042,2010-04-17 23:36:25 UTC,-73.978689,40.741014,-73.99618,40.716427,1
A114043,2010-04-20 07:52:33 UTC,-73.97028,40.756368,-73.952315,40.78325,1
A114044,2010-04-11 12:42:27 UTC,-73.961127,40.769254,-73.948702,40.778344,1
A114045,2010-04-13 19:22:33 UTC,-74.00464,40.73761,-73.995158,40.742996,1
A114046,2010-04-24 13:09:02 UTC,-74.001735,40.724507,-74.000751,40.732198,2
A114047,2010-04-14 09:15:10 UTC,-73.993809,40.756463,-73.99697,40.747239,1
A114048,2010-04-19 09:53:36 UTC,-73.936876,40.854396,-73.891548,40.861412,1
A114049,2010-04-20 13:40:41 UTC,-73.975549,40.749136,-73.977351,40.757386,2
A114050,2010-04-22 11:05:18 UTC,-73.999948,40.761387,-73.983035,40.767788,1
A114051,2010-04-18 22:56:23 UTC,-73.983829,40.762415,-74.000654,40.739871,1
A114052,2010-04-23 23:09:31 UTC,-73.938883,40.752402,-73.975172,40.761682,1
A114053,2010-04-18 03:36:46 UTC,-73.984684,40.73721,-73.988293,40.743361,1
A114054,2010-04-12 22:33:46 UTC,-73.870703,40.773583,-73.99856,40.737272,1
A114055,2010-04-21 12:12:03 UTC,-73.994423,40.732037,-73.991726,40.735119,1
A114056,2010-04-14 10:05:26 UTC,-73.86278,40.769036,-73.865248,40.735474,1
A114057,2010-04-15 23:02:06 UTC,-73.992623,40.754761,-73.987229,40.765327,1
A114058,2010-04-23 09:49:25 UTC,-73.983052,40.756506,-73.975588,40.759549,1
A114059,2010-04-15 21:04:00 UTC,-73.981995,40.759192,-73.957302,40.77517,5
A114060,2010-04-15 19:13:22 UTC,-73.985832,40.75729,-74.003087,40.724097,1
A114061,2010-04-23 20:15:56 UTC,-74.009242,40.726023,-74.002367,40.739821,2
A114062,2010-04-18 15:29:02 UTC,-73.964604,40.772718,-73.993916,40.750078,4
A114063,2010-04-12 18:59:20 UTC,-73.993876,40.751352,-73.979309,40.749723,4
A114064,2010-04-20 17:04:26 UTC,-73.989499,40.747114,-73.990138,40.67251,2
A114065,2010-04-15 20:01:49 UTC,-73.951061,40.785975,-73.979318,40.781919,1
A114066,2010-04-15 10:43:18 UTC,-73.97204,40.794381,-73.95451,40.787295,1
A114067,2010-04-11 23:56:41 UTC,-73.967905,40.762741,-73.971067,40.757926,1
A114068,2010-04-14 00:44:36 UTC,-74.000418,40.729992,-73.980854,40.764567,1
A114069,2010-04-14 13:22:39 UTC,-73.991221,40.744795,-73.98508,40.763532,1
A114070,2010-04-19 23:40:18 UTC,-73.972429,40.782363,-73.996162,40.722388,1
A114071,2010-04-13 22:06:44 UTC,-73.975245,40.765097,-73.955896,40.784741,1
A114072,2010-04-20 07:43:50 UTC,-73.977897,40.753606,-74.006638,40.705623,1
A114073,2010-04-22 14:27:38 UTC,-74.008796,40.707165,-73.953502,40.784137,1
A114074,2010-04-20 20:37:38 UTC,-74.000798,40.718565,-73.933144,40.796778,1
A114075,2010-04-19 09:00:57 UTC,-73.98602,40.766502,-73.990556,40.750919,4
A114076,2010-04-18 01:42:18 UTC,-73.992621,40.745244,-73.966626,40.755003,1
A114077,2010-04-20 08:41:33 UTC,-73.981281,40.770533,-73.985267,40.757518,1
A114078,2010-04-21 19:01:06 UTC,-73.966671,40.753482,-73.975708,40.751742,2
A114079,2010-04-13 10:30:05 UTC,-73.975214,40.78975,-73.964431,40.807125,1
A114080,2010-04-20 17:29:49 UTC,-74.009286,40.713591,-73.993511,40.737893,1
A114081,2010-04-16 23:18:48 UTC,-73.954085,40.764274,-73.9906,40.750906,1
A114082,2010-04-22 16:34:37 UTC,-73.865658,40.771178,-73.97341,40.758941,1
A114083,2010-04-20 14:44:19 UTC,-73.969432,40.754031,-73.987135,40.735708,1
A114084,2010-04-16 20:32:42 UTC,-73.99011,40.750845,-73.974431,40.750696,2
A114085,2010-04-24 15:23:22 UTC,-73.965297,40.771871,-73.955737,40.769323,1
A114086,2010-04-20 15:07:26 UTC,-73.972782,40.755885,-73.980712,40.745211,1
A114087,2010-04-15 16:50:23 UTC,-73.964073,40.773658,-73.989947,40.741039,2
A114088,2010-04-11 10:23:57 UTC,-74.014548,40.717934,-73.989938,40.739452,2
A114089,2010-04-24 10:46:12 UTC,-73.966401,40.794413,-74.007578,40.734942,1
A114090,2010-04-20 22:02:44 UTC,-73.995255,40.736746,-74.007881,40.704188,1
A114091,2010-04-15 09:04:59 UTC,-73.970006,40.753657,-74.010402,40.701967,1
A114092,2010-04-16 12:40:20 UTC,-73.978949,40.752897,-73.983806,40.762259,1
A114093,2010-04-14 09:23:28 UTC,-73.870476,40.773597,-73.964439,40.767023,2
A114094,2010-04-14 20:04:19 UTC,-73.991685,40.744252,-74.007564,40.740907,1
A114095,2010-04-21 13:04:25 UTC,-73.975797,40.776554,-73.989692,40.751771,2
A114096,2010-04-12 11:40:01 UTC,-73.969269,40.757666,-73.959865,40.770635,1
A114097,2010-04-22 10:56:47 UTC,-73.982287,40.746231,-73.980901,40.738649,1
A114098,2010-04-11 10:38:12 UTC,-73.959212,40.771478,-73.959059,40.780151,1
A114099,2010-04-15 23:58:50 UTC,-73.981886,40.772898,-73.961892,40.767842,1
A114100,2010-04-13 09:16:20 UTC,-73.981152,40.733074,-74.009916,40.709185,1
A114101,2010-04-23 12:34:57 UTC,-73.982371,40.7515,-73.9896,40.741377,1
A114102,2010-04-24 22:42:00 UTC,-73.972418,40.796348,-73.987207,40.769647,1
A114103,2010-04-24 02:33:44 UTC,-73.953399,40.771753,-73.947686,40.779327,1
A114104,2010-04-13 18:48:15 UTC,-73.965656,40.80581,-73.955036,40.806042,1
A114105,2010-04-25 01:37:26 UTC,-73.988329,40.731606,-73.960513,40.770609,1
A114106,2010-04-19 08:37:04 UTC,-74.008322,40.734143,-74.016862,40.705016,1
A114107,2010-04-20 11:52:00 UTC,-73.974943,40.74768,-73.916122,40.769973,5
A114108,2010-04-16 18:42:59 UTC,-73.997695,40.729284,-73.979147,40.728189,2
A114109,2010-04-13 14:40:00 UTC,-73.984928,40.759343,-73.991142,40.750322,5
A114110,2010-04-18 15:05:18 UTC,-73.962887,40.769346,-73.953822,40.771936,2
A114111,2010-04-17 04:38:00 UTC,-73.999408,40.739483,-74.004308,40.729805,4
A114112,2010-04-12 14:58:45 UTC,-74.007301,40.74271,-73.973194,40.760211,1
A114113,2010-04-19 14:35:19 UTC,-73.959654,40.77522,-73.974722,40.778028,1
A114114,2010-04-12 21:04:39 UTC,-73.988698,40.734136,-73.931348,40.755986,1
A114115,2010-04-22 11:50:34 UTC,-73.994627,40.745387,-73.990202,40.757009,1
A114116,2010-04-11 13:18:55 UTC,-73.782737,40.644518,-73.780818,40.645156,1
A114117,2010-04-18 14:19:24 UTC,-73.984019,40.759026,-73.98429,40.751808,1
A114118,2010-04-18 22:13:22 UTC,-73.990328,40.755975,-73.947143,40.783367,2
A114119,2010-04-22 19:40:12 UTC,-73.960775,40.76967,-73.975833,40.789122,2
A114120,2010-04-21 16:47:43 UTC,-73.777021,40.645042,-73.934558,40.681125,2
A114121,2010-04-22 15:53:39 UTC,-73.995615,40.733416,-73.988279,40.725816,1
A114122,2010-04-15 10:25:53 UTC,-73.942679,40.753817,-73.978857,40.685947,1
A114123,2010-04-19 11:44:45 UTC,-73.990473,40.756692,-74.007736,40.712698,1
A114124,2010-04-14 19:05:12 UTC,-73.965948,40.7711,-73.998914,40.739829,1
A114125,2010-04-16 00:06:17 UTC,-74.00993,40.735152,-73.999177,40.76088,1
A114126,2010-04-19 18:53:09 UTC,-73.994278,40.732164,-73.972853,40.782578,1
A114127,2010-04-14 00:05:00 UTC,-73.990545,40.724797,-74.005615,40.726558,2
A114128,2010-04-14 19:26:12 UTC,-73.954829,40.770058,-73.98017,40.750791,1
A114129,2010-04-11 04:12:27 UTC,-73.958432,40.708447,-73.994675,40.719621,1
A114130,2010-04-15 21:08:13 UTC,-73.973746,40.748233,-73.991426,40.750175,1
A114131,2010-04-19 17:12:44 UTC,-73.981674,40.760637,-73.989041,40.774221,1
A114132,2010-04-24 20:56:11 UTC,-73.976755,40.752143,-73.981039,40.742063,1
A114133,2010-04-23 11:14:37 UTC,-73.974111,40.783803,-73.978419,40.777966,1
A114134,2010-04-19 13:44:16 UTC,-73.988812,40.752883,-73.994477,40.745813,1
A114135,2010-04-17 19:59:19 UTC,-73.927675,40.755094,-73.941791,40.788617,2
A114136,2010-04-20 13:20:37 UTC,-73.984524,40.753931,-73.961127,40.763348,1
A114137,2010-04-13 18:09:31 UTC,-73.987817,40.7488,-73.989925,40.756908,1
A114138,2010-04-23 22:52:11 UTC,-73.975763,40.760426,-73.972306,40.746226,2
A114139,2010-04-24 23:35:55 UTC,-73.983535,40.7381,-73.987315,40.74383,1
A114140,2010-04-22 03:44:59 UTC,-74.005609,40.726157,-73.993947,40.751421,1
A114141,2010-04-24 19:58:31 UTC,-73.970209,40.756633,-73.979317,40.725814,4
A114142,2010-04-21 16:01:15 UTC,-73.97002,40.761188,-73.983305,40.738871,1
A114143,2010-04-17 03:30:45 UTC,-74.006388,40.743554,-73.982811,40.782353,2
A114144,2010-04-20 10:38:01 UTC,-73.956543,40.767183,-73.940064,40.84095,1
A114145,2010-04-18 07:58:01 UTC,-73.941308,40.822499,-73.91921,40.814509,1
A114146,2010-04-23 04:41:30 UTC,-74.007277,40.71169,-73.993218,40.678631,1
A114147,2010-04-12 18:18:40 UTC,-73.975298,40.748852,-73.967826,40.759307,1
A114148,2010-04-17 19:18:35 UTC,-73.979402,40.750799,-73.970459,40.756238,1
A114149,2010-04-14 06:12:18 UTC,-73.999519,40.743777,-73.964412,40.807458,1
A114150,2010-04-24 20:36:42 UTC,-73.986035,40.743769,-73.977022,40.754439,2
A114151,2010-04-11 13:53:54 UTC,-73.990045,40.714133,-73.980461,40.69974,2
A114152,2010-04-18 01:37:16 UTC,-73.98803,40.74306,-73.989333,40.734862,2
A114153,2010-04-14 09:04:46 UTC,-73.950367,40.771239,-74.013269,40.702428,4
A114154,2010-04-23 15:14:28 UTC,-73.976903,40.763657,-73.97827,40.765378,1
A114155,2010-04-16 11:50:47 UTC,-73.993659,40.749755,-73.976494,40.76238,2
A114156,2010-04-21 17:36:09 UTC,-73.972418,40.744193,-73.973155,40.760412,2
A114157,2010-04-12 16:36:00 UTC,-73.999757,40.74338,-73.957253,40.772118,5
A114158,2010-04-16 23:02:36 UTC,-73.980243,40.775823,-73.975786,40.782253,1
A114159,2010-04-21 07:18:51 UTC,-73.982027,40.773033,-73.955011,40.765874,1
A114160,2010-04-23 22:53:01 UTC,-73.9812,40.74237,-73.988456,40.743372,2
A114161,2010-04-20 08:47:15 UTC,-73.99608,40.742608,-73.999113,40.733976,1
A114162,2010-04-19 02:06:11 UTC,-73.986361,40.76722,-73.982436,40.757622,1
A114163,2010-04-11 18:27:47 UTC,-73.994364,40.740905,-73.999222,40.731446,1
A114164,2010-04-20 00:16:47 UTC,-73.959963,40.762129,-73.924292,40.809761,1
A114165,2010-04-21 14:40:19 UTC,-73.985377,40.753966,-73.984903,40.773877,1
A114166,2010-04-22 11:35:22 UTC,-73.961123,40.760346,-73.998787,40.737309,1
A114167,2010-04-17 10:32:47 UTC,-73.967983,40.802067,-73.973893,40.78423,2
A114168,2010-04-18 13:22:12 UTC,-73.946219,40.772765,-73.955292,40.768371,1
A114169,2010-04-17 11:43:00 UTC,-73.978148,40.782695,-73.979633,40.773542,1
A114170,2010-04-23 20:21:13 UTC,-73.970074,40.797125,-73.998998,40.684887,1
A114171,2010-04-14 19:12:38 UTC,-73.990033,40.747874,-73.990542,40.736966,1
A114172,2010-04-23 19:45:22 UTC,-73.978687,40.76264,-74.014705,40.715428,1
A114173,2010-04-21 12:29:52 UTC,-73.994056,40.751191,-73.953381,40.779521,1
A114174,2010-04-12 08:37:49 UTC,-73.977037,40.756094,-73.980301,40.76278,1
A114175,2010-04-12 09:36:25 UTC,-73.988557,40.722597,-73.978422,40.744927,1
A114176,2010-04-19 19:31:00 UTC,-73.986093,40.750113,-73.987592,40.76011,1
A114177,2010-04-22 18:01:41 UTC,-73.98469,40.758433,-73.985993,40.749876,4
A114178,2010-04-15 11:44:17 UTC,-73.962815,40.763399,-73.968913,40.76445,1
A114179,2010-04-16 20:57:06 UTC,-73.966482,40.753446,-74.005612,40.732372,1
A114180,2010-04-19 11:19:58 UTC,-73.971618,40.757749,-73.986719,40.736951,1
A114181,2010-04-13 20:09:40 UTC,-74.007795,40.70493,-73.976475,40.751857,1
A114182,2010-04-22 01:24:00 UTC,-74.001482,40.730825,-73.97454,40.788027,5
A114183,2010-04-24 10:54:09 UTC,-74.008814,40.731996,-73.982028,40.775348,1
A114184,2010-04-21 20:56:54 UTC,-73.990738,40.751009,-74.002388,40.734301,1
A114185,2010-04-14 22:32:26 UTC,-73.998002,40.674207,-73.969554,40.638885,1
A114186,2010-04-21 08:52:33 UTC,-73.991742,40.750213,-73.974738,40.75562,1
A114187,2010-04-19 11:28:43 UTC,-73.991512,40.749948,-73.967729,40.760908,1
A114188,2010-04-13 19:03:51 UTC,-74.010224,40.720901,-73.975359,40.777624,1
A114189,2010-04-15 02:06:04 UTC,-74.003351,40.720296,-73.98193,40.714636,1
A114190,2010-04-23 00:14:26 UTC,-73.956027,40.772022,-73.903412,40.703533,2
A114191,2010-04-17 17:18:32 UTC,-73.996182,40.726124,-73.947226,40.708417,2
A114192,2010-04-22 19:42:10 UTC,-73.98216,40.775498,-73.971008,40.796874,1
A114193,2010-04-15 08:08:39 UTC,-73.982558,40.761626,-73.979762,40.761303,1
A114194,2010-04-19 01:11:00 UTC,-74.00061,40.731537,-74.002328,40.716938,2
A114195,2010-04-17 17:32:44 UTC,-73.981539,40.762523,-73.980757,40.784945,1
A114196,2010-04-23 19:13:57 UTC,-73.966127,40.753924,-73.97581,40.75169,2
A114197,2010-04-15 22:16:20 UTC,-73.946547,40.791998,-73.986994,40.729716,4
A114198,2010-04-15 17:11:22 UTC,-73.988752,40.736861,-73.977171,40.751215,1
A114199,2010-04-14 16:09:30 UTC,-74.015313,40.704722,-73.976489,40.759778,1
A114200,2010-04-15 00:25:46 UTC,-73.976257,40.785668,-73.951873,40.725666,1
A114201,2010-04-18 10:00:00 UTC,-73.968887,40.76989,-73.991597,40.74451,5
A114202,2010-04-19 10:23:05 UTC,-73.952792,40.776298,-73.961486,40.764881,1
A114203,2010-04-20 18:46:18 UTC,-73.991869,40.726402,-73.978387,40.725534,1
A114204,2010-04-18 06:49:59 UTC,-73.981957,40.732132,-73.966571,40.772267,2
A114205,2010-04-22 12:10:32 UTC,-73.978914,40.785092,-73.959,40.809606,1
A114206,2010-04-14 13:30:49 UTC,-73.960758,40.775136,-73.992583,40.768562,1
A114207,2010-04-23 18:09:01 UTC,-73.966081,40.757766,-73.974863,40.744341,1
A114208,2010-04-11 12:56:06 UTC,-73.953251,40.779831,-73.955387,40.787812,1
A114209,2010-04-21 12:53:23 UTC,-73.974653,40.742084,-73.979052,40.752307,1
A114210,2010-04-21 06:39:16 UTC,-73.952307,40.778147,-73.967867,40.762973,1
A114211,2010-04-16 10:55:34 UTC,-73.974485,40.756177,-73.961953,40.779526,1
A114212,2010-04-24 01:02:28 UTC,-73.9778,40.752396,-73.997043,40.595749,1
A114213,2010-04-25 02:44:25 UTC,-73.978644,40.724444,-73.987173,40.7203,4
A114214,2010-04-23 15:57:52 UTC,-73.977948,40.756659,-73.978089,40.745734,1
A114215,2010-04-18 03:10:15 UTC,-74.005066,40.741245,-73.952511,40.780584,1
A114216,2010-04-21 14:22:10 UTC,-73.986698,40.762223,-73.985802,40.758734,1
A114217,2010-04-19 09:16:33 UTC,-73.954842,40.767384,-74.006697,40.70652,1
A114218,2010-04-20 07:34:06 UTC,-73.978623,40.7515,-73.986468,40.750507,1
A114219,2010-04-24 09:55:12 UTC,-73.986985,40.761249,-73.988538,40.753266,1
A114220,2010-04-24 07:59:22 UTC,-73.988067,40.737873,-73.990389,40.750101,1
A114221,2010-04-18 09:47:36 UTC,-73.956823,40.774874,-73.952845,40.783164,1
A114222,2010-04-17 18:04:48 UTC,-73.981329,40.778919,-73.975033,40.79267,1
A114223,2010-04-21 17:30:42 UTC,-73.969884,40.759025,-73.954416,40.789573,1
A114224,2010-04-15 22:12:12 UTC,-73.992835,40.751906,-74.003651,40.72234,1
A114225,2010-04-24 23:25:44 UTC,-73.983837,40.765357,-73.979905,40.773716,2
A114226,2010-04-13 10:59:28 UTC,-73.995989,40.743416,-73.972598,40.761629,1
A114227,2010-04-17 22:42:30 UTC,-73.990505,40.718681,-73.994951,40.745294,4
A114228,2010-04-22 18:00:01 UTC,-73.95884,40.772214,-73.954141,40.783941,1
A114229,2010-04-21 16:17:57 UTC,-73.97043,40.767828,-74.007082,40.742499,1
A114230,2010-04-15 19:33:55 UTC,-73.947167,40.775958,-73.977844,40.745769,1
A114231,2010-04-23 21:22:35 UTC,-73.966549,40.764753,-73.953123,40.781887,1
A114232,2010-04-23 15:56:58 UTC,-73.967119,40.772329,-73.968798,40.770629,1
A114233,2010-04-21 22:40:33 UTC,-73.984045,40.75953,-73.988149,40.750542,2
A114234,2010-04-19 23:45:49 UTC,-74.00078,40.72707,-73.996602,40.73822,1
A114235,2010-04-24 12:31:53 UTC,-73.96786,40.768729,-73.983305,40.750088,1
A114236,2010-04-20 10:54:13 UTC,-73.958419,40.713501,-73.865314,40.770724,1
A114237,2010-04-21 06:59:18 UTC,-73.969732,40.760355,-74.011271,40.702004,1
A114238,2010-04-18 18:46:35 UTC,-73.978205,40.729183,-74.007425,40.717576,1
A114239,2010-04-18 10:09:31 UTC,-73.984216,40.746074,-73.978354,40.758062,2
A114240,2010-04-25 01:51:39 UTC,-73.985473,40.760898,-73.847373,40.859495,1
A114241,2010-04-23 11:43:58 UTC,-74.001296,40.741251,-73.976221,40.754868,1
A114242,2010-04-23 16:05:27 UTC,-73.979785,40.759167,-73.9873,40.66628,1
A114243,2010-04-24 20:02:48 UTC,-73.965911,40.762919,-73.995807,40.744447,1
A114244,2010-04-16 06:09:53 UTC,-73.953815,40.806569,-73.910484,40.84345,1
A114245,2010-04-23 23:43:12 UTC,-73.97512,40.757805,-73.90299,40.902448,1
A114246,2010-04-23 13:28:24 UTC,-74.007204,40.728376,-73.872589,40.774549,2
A114247,2010-04-22 20:34:31 UTC,-73.986114,40.752212,-73.964913,40.801693,1
A114248,2010-04-24 04:28:32 UTC,-73.98382,40.72708,-74.00379,40.717211,2
A114249,2010-04-24 07:48:33 UTC,-73.945009,40.778578,-74.006341,40.70554,1
A114250,2010-04-20 16:40:05 UTC,-73.971058,40.763837,-73.959175,40.771655,1
A114251,2010-04-21 11:30:53 UTC,-74.016932,40.708323,-73.992224,40.738859,2
A114252,2010-04-24 15:03:00 UTC,-74.011973,40.701338,-73.97515,40.724935,1
A114253,2010-04-24 04:46:32 UTC,-73.990102,40.756973,-73.913159,40.834782,1
A114254,2010-04-13 11:06:35 UTC,-73.978698,40.754967,-73.988018,40.76978,1
A114255,2010-04-21 22:07:39 UTC,-74.003866,40.747681,-73.976454,40.748134,1
A114256,2010-04-18 20:58:37 UTC,-73.994755,40.750342,-73.983197,40.781859,1
A114257,2010-04-12 21:37:10 UTC,-73.975426,40.749175,-73.977526,40.680724,3
A114258,2010-04-24 23:07:40 UTC,-73.992704,40.723962,-73.999897,40.721352,1
A114259,2010-04-12 07:05:56 UTC,-73.958538,40.773097,-73.974856,40.753768,1
A114260,2010-04-14 20:17:15 UTC,-73.98225,40.768424,-73.990683,40.751042,1
A114261,2010-04-23 12:36:06 UTC,-73.978157,40.763393,-73.963049,40.764295,1
A114262,2010-04-23 17:40:47 UTC,-73.963647,40.771111,-73.963424,40.771001,1
A114263,2010-04-12 07:54:37 UTC,-73.980069,40.726937,-73.981495,40.727926,1
A114264,2010-04-13 23:19:49 UTC,-73.978887,40.750507,-73.840259,40.72036,1
A114265,2010-04-23 14:31:12 UTC,-74.000751,40.718234,-74.010013,40.715148,1
A114266,2010-04-23 21:02:01 UTC,-73.975314,40.752428,-74.00769,40.705346,1
A114267,2010-04-22 00:13:27 UTC,-73.98156,40.740944,-73.990942,40.688779,1
A114268,2010-04-19 10:49:15 UTC,-73.956772,40.786503,-73.970135,40.789847,1
A114269,2010-04-13 21:07:13 UTC,-73.885323,40.773068,-73.98528,40.666902,1
A114270,2010-04-22 21:15:29 UTC,-73.957542,40.773762,-73.966329,40.789862,2
A114271,2010-04-20 21:15:53 UTC,-74.010111,40.720618,-73.975451,40.795341,1
A114272,2010-04-23 13:32:12 UTC,-73.976566,40.783993,-73.992963,40.745396,1
A114273,2010-04-23 19:42:42 UTC,-73.976257,40.749474,-73.954215,40.784591,1
A114274,2010-04-14 17:23:41 UTC,-73.981634,40.746952,-73.977417,40.753267,1
A114275,2010-04-17 18:01:43 UTC,-73.982226,40.775546,-73.786558,40.638983,1
A114276,2010-04-21 21:09:50 UTC,-73.956481,40.775478,-73.96472,40.758918,1
A114277,2010-04-21 15:35:01 UTC,-73.957442,40.774437,-73.973543,40.760655,1
A114278,2010-04-15 07:53:21 UTC,-73.971917,40.765694,-73.994431,40.750355,1
A114279,2010-04-14 17:12:03 UTC,-73.98547,40.747146,-73.998161,40.713048,2
A114280,2010-04-16 23:12:39 UTC,-73.979739,40.729768,-73.984903,40.747634,1
A114281,2010-04-16 06:51:00 UTC,-73.978097,40.760117,-73.979627,40.773712,1
A114282,2010-04-15 22:58:04 UTC,-73.983126,40.785226,-74.00799,40.738821,1
A114283,2010-04-13 21:35:50 UTC,-73.985769,40.740585,-73.97832,40.774783,1
A114284,2010-04-24 10:07:55 UTC,-73.974162,40.747122,-74.014953,40.704947,1
A114285,2010-04-18 01:17:05 UTC,-73.980625,40.729805,-73.976989,40.751705,2
A114286,2010-04-19 17:25:04 UTC,-73.980019,40.734754,-73.985396,40.763599,1
A114287,2010-04-24 22:36:04 UTC,-73.961167,40.760944,-73.980757,40.763079,2
A114288,2010-04-13 16:21:18 UTC,-73.975217,40.750772,-73.967856,40.754793,1
A114289,2010-04-18 19:30:05 UTC,-73.992469,40.748719,-73.981317,40.738274,1
A114290,2010-04-24 07:31:28 UTC,-73.990393,40.72911,-73.99333,40.752381,1
A114291,2010-04-11 19:27:47 UTC,-73.970667,40.76495,-73.971134,40.75526,2
A114292,2010-04-21 18:40:03 UTC,-73.987204,40.76073,-73.971674,40.751942,1
A114293,2010-04-18 05:38:49 UTC,-73.98833,40.733982,-73.981533,40.730012,2
A114294,2010-04-18 11:58:20 UTC,-73.977702,40.745553,-74.010605,40.720153,1
A114295,2010-04-18 21:32:29 UTC,-73.978095,40.77814,-73.983676,40.77951,1
A114296,2010-04-19 20:32:03 UTC,-73.982203,40.752431,-73.979766,40.786103,1
A114297,2010-04-14 12:44:55 UTC,-73.944617,40.77949,-73.968938,40.764136,1
A114298,2010-04-23 18:27:08 UTC,-73.994749,40.740019,-73.952553,40.803032,1
A114299,2010-04-21 18:15:23 UTC,-73.992742,40.73036,-73.999285,40.722307,1
A114300,2010-04-18 09:18:17 UTC,-73.956045,40.782979,-73.959941,40.76128,1
A114301,2010-04-23 00:23:53 UTC,-73.995706,40.738793,-73.990658,40.756106,1
A114302,2010-04-15 11:41:00 UTC,-73.950772,40.7791,-73.974173,40.764955,2
A114303,2010-04-21 13:43:00 UTC,-73.986985,40.750327,-73.981688,40.760853,1
A114304,2010-04-14 16:37:23 UTC,-73.973442,40.7847,-73.975358,40.778522,1
A114305,2010-04-14 11:08:12 UTC,-74.004324,40.721302,-73.990883,40.747161,1
A114306,2010-04-15 13:44:09 UTC,-73.969089,40.761187,-73.984124,40.763465,1
A114307,2010-04-17 12:43:28 UTC,-73.952544,40.781039,-73.983392,40.783597,1
A114308,2010-04-22 06:32:04 UTC,-73.987517,40.754989,-73.988439,40.741359,1
